Date,Value
502,2.98
503,2.97
504,2.95
505,2.97
506,2.97
507,2.99
508,3.06
509,3.08
510,3.06
511,3.05
512,2.92
513,2.91
514,2.94
515,2.97
516,3.02
517,3.01
518,3.01
519,2.94
520,2.98
521,2.95
522,3.01
523,3.01
524,2.98
525,2.9
526,2.83
527,2.86
528,2.82
529,2.97
530,2.97
531,2.99
532,2.96
533,3.01
534,2.97
535,2.92
536,2.92
537,2.83
538,2.88
539,2.84
540,2.85
541,2.9
542,2.89
543,2.88
544,2.9
545,2.96
546,3.01
547,3
548,2.98
549,2.99
550,2.93
551,2.96
552,2.97
553,2.95
554,2.95
555,2.93
556,2.94
557,2.9
558,2.93
559,2.91
560,2.92
561,2.91
562,2.91
563,2.88
564,2.88
565,2.89
566,2.89
567,2.96
568,3.03
569,2.98
570,3.01
571,2.99
572,3.03
573,3.03
574,3.06
575,3.08
576,3.09
577,3.01
578,2.91
579,2.9
580,2.85
581,2.83
582,2.85
583,2.79
584,2.84
585,2.92
586,2.93
587,2.89
588,2.9
589,2.82
590,2.84
591,2.81
592,2.86
593,2.8
594,2.78
595,2.8
596,2.87
597,2.88
598,2.82
599,2.74
600,2.74
601,2.7
602,2.68
603,2.76
604,2.78
605,2.78
606,2.73
